Module,Gene_symbol_original,Gene_symbol_matched,Gene_name,Entrez_ID,Detected_in_mature_OL,Included_in_module_score,Original_gene_count,Detected_gene_count,Used_for_module_scoring,Source,Database_or_pathway_ID,Curation_basis,Notes
Cholesterol_biosynthesis,Cyp51,Cyp51,"cytochrome P450, family 51",13121,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Cholesterol_biosynthesis,Dhcr24,Dhcr24,24-dehydrocholesterol reductase,74754,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Cholesterol_biosynthesis,Dhcr7,Dhcr7,7-dehydrocholesterol reductase,13360,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Cholesterol_biosynthesis,Fdft1,Fdft1,farnesyl diphosphate farnesyl transferase 1,14137,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Cholesterol_biosynthesis,Fdps,Fdps,farnesyl diphosphate synthetase,110196,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Cholesterol_biosynthesis,Hmgcr,Hmgcr,3-hydroxy-3-methylglutaryl-Coenzyme A reductase,15357,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Cholesterol_biosynthesis,Hmgcs1,Hmgcs1,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1,208715,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Cholesterol_biosynthesis,Insig1,Insig1,insulin induced gene 1,231070,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Cholesterol_biosynthesis,Lss,Lss,lanosterol synthase,16987,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Cholesterol_biosynthesis,Msmo1,Msmo1,methylsterol monoxygenase 1,66234,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Cholesterol_biosynthesis,Mvd,Mvd,mevalonate (diphospho) decarboxylase,192156,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Cholesterol_biosynthesis,Mvk,Mvk,mevalonate kinase,17855,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Cholesterol_biosynthesis,Nsdhl,Nsdhl,NAD(P) dependent steroid dehydrogenase-like,18194,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Cholesterol_biosynthesis,Sc5d,Sc5d,sterol-C5-desaturase,235293,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Cholesterol_biosynthesis,Sqle,Sqle,squalene epoxidase,20775,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Cholesterol_biosynthesis,Srebf2,Srebf2,sterol regulatory element binding factor 2,20788,Yes,Yes,16,16,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Fatty_acid_metabolism,Acadvl,Acadvl,"acyl-Coenzyme A dehydrogenase, very long chain",11370,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Fatty_acid_metabolism,Acsl3,Acsl3,acyl-CoA synthetase long-chain family member 3,74205,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Fatty_acid_metabolism,Acsl4,Acsl4,acyl-CoA synthetase long-chain family member 4,50790,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Fatty_acid_metabolism,Acsl6,Acsl6,acyl-CoA synthetase long-chain family member 6,216739,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Fatty_acid_metabolism,Cpt1a,Cpt1a,"carnitine palmitoyltransferase 1a, liver",12894,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Fatty_acid_metabolism,Cpt2,Cpt2,carnitine palmitoyltransferase 2,12896,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Fatty_acid_metabolism,Elovl1,Elovl1,ELOVL fatty acid elongase 1,54325,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Fatty_acid_metabolism,Elovl5,Elovl5,ELOVL fatty acid elongase 5,68801,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Fatty_acid_metabolism,Elovl6,Elovl6,ELOVL fatty acid elongase 6,170439,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Fatty_acid_metabolism,Fasn,Fasn,fatty acid synthase,14104,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Fatty_acid_metabolism,Hadha,Hadha,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha,97212,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Fatty_acid_metabolism,Hadhb,Hadhb,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta,231086,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Fatty_acid_metabolism,Scd1,Scd1,stearoyl-Coenzyme A desaturase 1,20249,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Fatty_acid_metabolism,Scd2,Scd2,stearoyl-Coenzyme A desaturase 2,20250,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Ferroptosis_related,Acsl4,Acsl4,acyl-CoA synthetase long-chain family member 4,50790,Yes,Yes,12,12,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Ferroptosis_related,Alox15,Alox15,arachidonate 15-lipoxygenase,11687,Yes,Yes,12,12,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Ferroptosis_related,Fth1,Fth1,ferritin heavy polypeptide 1,14319,Yes,Yes,12,12,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Ferroptosis_related,Ftl1,Ftl1,ferritin light polypeptide 1,14325,Yes,Yes,12,12,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Ferroptosis_related,Gpx4,Gpx4,glutathione peroxidase 4,625249,Yes,Yes,12,12,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Ferroptosis_related,Hmox1,Hmox1,heme oxygenase 1,15368,Yes,Yes,12,12,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Ferroptosis_related,Lpcat3,Lpcat3,lysophosphatidylcholine acyltransferase 3,14792,Yes,Yes,12,12,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Ferroptosis_related,Ncoa4,Ncoa4,nuclear receptor coactivator 4,27057,Yes,Yes,12,12,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Ferroptosis_related,Sat1,Sat1,spermidine/spermine N1-acetyl transferase 1,20229,Yes,Yes,12,12,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Ferroptosis_related,Slc3a2,Slc3a2,"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2",17254,Yes,Yes,12,12,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Ferroptosis_related,Slc7a11,Slc7a11,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11",26570,Yes,Yes,12,12,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Ferroptosis_related,Tfrc,Tfrc,transferrin receptor,22042,Yes,Yes,12,12,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Mitochondrial_energy,Cox4i1,Cox4i1,cytochrome c oxidase subunit 4I1,12857,Yes,Yes,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Mitochondrial_energy,Cox5a,Cox5a,cytochrome c oxidase subunit 5A,12858,Yes,Yes,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Mitochondrial_energy,Cox6a1,Cox6a1,cytochrome c oxidase subunit 6A1,12861,Yes,Yes,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Mitochondrial_energy,Ndufa1,Ndufa1,NADH:ubiquinone oxidoreductase subunit A1,54405,Yes,Yes,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Mitochondrial_energy,Ndufa2,Ndufa2,NADH:ubiquinone oxidoreductase subunit A2,17991,Yes,Yes,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Mitochondrial_energy,Ndufa4,Ndufa4,"Ndufa4, mitochondrial complex associated",17992,Yes,Yes,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Mitochondrial_energy,Ndufa5,Ndufa5,NADH:ubiquinone oxidoreductase subunit A5,68202,Yes,Yes,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Mitochondrial_energy,Ndufb3,Ndufb3,NADH:ubiquinone oxidoreductase subunit B3,66495,Yes,Yes,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Mitochondrial_energy,Ndufb5,Ndufb5,NADH:ubiquinone oxidoreductase subunit B5,66046,Yes,Yes,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Mitochondrial_energy,Ndufb8,Ndufb8,NADH:ubiquinone oxidoreductase subunit B8,67264,Yes,Yes,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Mitochondrial_energy,Sdha,Sdha,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",66945,Yes,Yes,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Mitochondrial_energy,Sdhb,Sdhb,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",67680,Yes,Yes,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Mitochondrial_energy,Uqcrc1,Uqcrc1,ubiquinol-cytochrome c reductase core protein 1,22273,Yes,Yes,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Mitochondrial_energy,Uqcrc2,Uqcrc2,ubiquinol cytochrome c reductase core protein 2,67003,Yes,Yes,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Mitochondrial_energy,Atp5f1a,,ATP synthase F1 subunit alpha,11946,No,No,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,Not detected in the mature oligodendrocyte RNA assay and excluded from module scoring
Mitochondrial_energy,Atp5f1b,,ATP synthase F1 subunit beta,11947,No,No,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,Not detected in the mature oligodendrocyte RNA assay and excluded from module scoring
Mitochondrial_energy,Atp5mc1,,ATP synthase membrane subunit c locus 1,11951,No,No,17,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,Not detected in the mature oligodendrocyte RNA assay and excluded from module scoring
Oxidative_stress_response,Cat,Cat,catalase,12359,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Oxidative_stress_response,Gpx1,Gpx1,glutathione peroxidase 1,14775,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Oxidative_stress_response,Gpx4,Gpx4,glutathione peroxidase 4,625249,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Oxidative_stress_response,Gsr,Gsr,glutathione reductase,14782,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Oxidative_stress_response,Hmox1,Hmox1,heme oxygenase 1,15368,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Oxidative_stress_response,Nfe2l2,Nfe2l2,"nuclear factor, erythroid derived 2, like 2",18024,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Oxidative_stress_response,Prdx1,Prdx1,peroxiredoxin 1,18477,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Oxidative_stress_response,Prdx2,Prdx2,peroxiredoxin 2,21672,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Oxidative_stress_response,Prdx3,Prdx3,peroxiredoxin 3,11757,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Oxidative_stress_response,Prdx5,Prdx5,peroxiredoxin 5,54683,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Oxidative_stress_response,Sod1,Sod1,"superoxide dismutase 1, soluble",20655,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Oxidative_stress_response,Sod2,Sod2,"superoxide dismutase 2, mitochondrial",20656,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Oxidative_stress_response,Txn1,Txn1,thioredoxin 1,22166,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Oxidative_stress_response,Txn2,Txn2,thioredoxin 2,56551,Yes,Yes,14,14,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
Sphingolipid_myelin_lipid,Cers2,Cers2,ceramide synthase 2,76893,Yes,Yes,13,13,Yes,Author-defined candidate gene set,,Author-curated; methodological basis described in the manuscript and Table S1 Read_me,
